question,answer
học trường nào vậy,trường đại_học buôn ma_thuột
trường tên gì,đại_học tôn đức thắng
ở quê bạn có gì đặc_biệt,ở mình có biển đồi cát núi và nhiều thứ khác
tháng 8 á được chứ tháng 8 tui rảnh không có làm gì hết,vậy chốt nhá tháng 8 này chúng_ta đi 1 chuyến đà_lạt nha
robot ơi robot có tự nhận là mình không thông_minh không,robot rất chi là thông_minh
có chip khác không,amd
bố mày làm gì,bố tao là ceo thegioididong
cho mình hỏi máy_tính này còn hàng_không,loại máy_tính này bên mình vẫn còn hàng
thanh_toán sao,trả_góp
bạn mày học đâu,ở trường nó học
ê mày con_trai như nào mới cua được gái,bên ngoài đẹp_trai bên trong nhiều tiền
nhà bạn thuê có tiện_ích gì không,nhà mình thuê có điều_hoà bếp ga máy_giặt đầy_đủ
trường mình thầy cô nghiêm_khắc không,nghiêm lắm ý
bạn thường làm gì trong thời_gian rảnh,lúc rảnh mình thường đọc truyện
sao bạn lại thích chơi game,tại vì nó vui
mày với người_yêu của mày sao rồi,vẫn vậy
bạn chọn giúp mình laptop tốt mà dưới 15 triệu được không,mình cũng không rõ nữa bạn ra thế_giới di_động hỏi thử xem sao
chủ_nhật đi ăn lẩu không,đi ăn lẩu teokbokki đi
làm đâu,quận 1
hình_tượng mà con_gái mong_muốn là gì,phải to chắc bền già gân
khi nào bạn về lại thành_phố,qua tết mình lên
bạn biết đọc rap không,tôi chưa được học về rap nhưng có_thể phát một_vài bài nhạc
rớt bao nhiều môn rồi,hỏi chi
tết này có lì_xì tao không,có
nhà bạn ở đường nào,nguyễn huệ
khi người_yêu dỗi thì bạn sẽ làm gì,tôi sẽ đi mua trà sữa cho cô ấy
crush có người_yêu rồi giờ mình nên làm gì đây,mình nghĩ bạn nên từ_bỏ nó đi sau đó đi crush người khác
dạo này công_việc ổn không,dạo này công_việc hơi nhiều dễ stress lắm
bạn có anh hay chị hay em,mình có chị
tiền thuê_bao_nhiêu,2 triệu tháng
vậy đi ăn lẩu đi lâu rồi chưa ăn,mới đi ăn tuần trước mà lâu
hôm_nay ăn_ở đâu ấy nhỉ,chúng_mình ăn chỗ quán cũ đi
cậu có về thăm ông_bà không,đương_nhiên là về rồi
bạn có muốn đi uống trà sữa với mình vào chiều nay khôngmình mời,okchúng ta hẹn nhau vào 2h chiều nhé
cho mình hỏi bạn sắp kết_hôn chưa,chưa có bạn gái nữa_là
bạn cảm_thấy như thế_nào khi làm_việc ở đó,mình cảm_thấy ở đó môi_trường rất vui và luôn tràn_ngập năng_lượng
dạ có rồi thầy,em lên quầy dịch_vụ để nộp tiền vào tài_khoản nha
đồng_nghiệp thoải_mái không,có thoải_mái
xem phim ở đâu vậy mày,tui định xem ở gò vấp á
hay chơi với ai,đồng_nghiệp
đi một_mình hay nhiều người,cả hai
bạn có hay đi xem phim chiếu rạp với bạn trai không,thỉnh_thoảng
có thích bóng_rổ không,không biết chơi
công_việc ổn không,cũng bình_thường
bạn có anh_chị_em không,mình có một chị_gái
di_choi xem phim gi khong,o dau
khi nào bạn bắt_đầu chuyến đi_vậy,mình không rõ nữa chắc hè mới đi
ngoài_ra mình muốn hỏi bạn có làm cái khác ngoài việc trên không,có mình thường đi chơi với bạn_bè
vậy mình đi ăn bò nướng phố không,được đấy nghe mấy thằng bạn tớ bảo ngon lắm
quê bạn ở đâu,quê mình ở đà_lạt
tiểu_thuyết tôi thích nhất là harry potter bạn biết nó chứ,tất_nhiên rồi tôi đã đọc nó ít_nhất là 2 lần
đi du_lịch không,có
tặng gì cho crush,chân_thành
cậu ví_dụ mình xem kido since shebyshe,haha chuẩn luôn rồi cậu ơi
rãnh không quánh bài mày,dô
đang làm ở đâu,ở cyberlogitec việt nam cộng_hòa
bạn có gia_đình chưa,chưa
bạn có nhiều người bạn thân không,mình có 1 người bạn thân
mày đang đi làm quận mấy đó,quận 3
học_phí có cao không,học_phí tớ thấy xứng_đáng với chất_lượng học_tập
nhiều cây_xanh không,nhiều
học bài chưa,chưa
hai bạn có hay chia_sẻ với nhau không,có
bạn có thích chơi thể_thao không,mình có một_chút thích chơi thể_thao
bao_lâu thì đi du_lịch 1 lần,6 tháng
bạn có thích công_việc hiện_tại không,cũng được tới hài_lòng
vậy bọn mình nên đi ăn gì,tớ nghĩ bọn bọn mình đi ăn bánh_xèo hoặc là đi ăn lẩu
trường mình thầy cô nghiêm_khắc không,nghiêm lắm ý
bạn có thích môi_trường làm_việc này không,tôi rất thích môi_trường làm_việc này
tiếc thế phim hay lắm ông ơi,mốt tôi hoàn_thành deadline rồi tui đi xem sau vậy
ăn gì đây,gì cũng được
thế có quà_cáp cho mình không nhỉ haha,haha để xem
người_yêu đẹp không,khá đẹp
có xài facebook hay zalo chi không,có xài facebook nhen
còn gì nữa không,chắc đua bò cũng là lễ
công_việc có khó_khăn không,dễ lắm
shop đó có uy_tín không ông,uy_tín lắm ông tôi hay mua ở shop đó lắm
bạn có hay đi chơi với bạn_bè không,rất nhiều
có phương_án nào rẻ hơn không,thông_thường_khi đi du_lịch việc đi theo tour sẽ tiết_kiệm chi_phí
quan_hệ với mọi người,tốt
nhà mày ở đâu,t ở q6 lận hơi xa hjhj
sinh năm nhiêu,bằng cún
bạn với người_yêu đã bao_nhiêu cãi nhau chưa,đã từng
vào dịp lễ bạn đi làm thêm hay nghỉ,mình đi làm kiếm thêm thu_nhập
đi học hay làm,làm
order bánh pizza,xong
tôi có_thể treo áo_khoác trong phòng thay_đồ chứ,dĩ_nhiên rồi
bạn thường hay đi ăn_ở đâu,mình thường ra chợ để ăn
nhà gần trường giá_cả có hợp_lý cho sinh_viên không bạn nhỉ,đa_số các chủ nhà đều hiểu hoàn_cảnh sinh_viên nên giảm_giá nhiều lắm
bạn thích phim gì,tôi rất thích phim hài
trọ ở đâu,bên lê văn lương
bạn muốn đi du_lịch với người_yêu ở đâu,đâu cũng được nếu được thì đi du_lịch vòng_quanh thế_giới
khi nào rãnh rỗi cùng chơi cầu_lông nào,được thôi
mày đang làm gì với con bồ tao đấy cắm_sừng tao à,bố mày dí buồi nói
trường có các tiện_ích gì vậy ạ,căn tin ký_túc_xá và còn nhiều thứ khác nữa
tiện đường_không,gần trường
lương cao không,cao
bạn có hay uống bia rượu không,không bạn ạ
bạn có thích đá banh không,có mình cũng thích đá banh
học ở trường nào,đại_học tôn đức thắng
nếu chị đang hẹn_hò với một người thì chị sẽ thích làm gì khi hẹn_hò,chị thích đi vòng ngắm thành_phố la_cà ăn đây_đó vì chị thích ăn lắm
có gì chơi,leo đồi leo núi
đối_tượng còn độc_thân,ừ
gia_đình bạn có mấy người,gia_đình mình gồm 5 người
bạn có thương quê_hương mình không,có mình rất nhớ quê năm nào cũng muốn về
ê cho tao hỏi bữa mày thi tư_tưởng đề dễ hong,không hề dễ đề ra toàn lạ
mẫu người_yêu lí_tưởng của mày là gì,đẹp hiền ngoan là được
bạn còn chơi với những bạn hồi cấp 2 không,còn
người_yêu của bạn là người như thế_nào,người_yêu mình là người rất rộng_lượng
còn crush t không,còn
chẩm hỏi,đang dịch mà
mẫu người mà bạn thích là gì,tốt xinh giỏi
bạn thường làm gì vào cuối tuần_thế,cuối tuần mình chỉ ở nhà xem phim thôi
bạn thích nghề gì,tôi thích diễn hề chuyên_nghiệp
ăn ốc không,ừ
công_việc ổn không,ổn
ngôi nhà này có tiện đường đi đến trường tdtu không ạ,đường từ ngồi nhà này đến trường tdtu chỉ có 1km thôi bạn nhé
hiện_tại bạn đang làm nghề gì,mình không làm gì hết vì mình còn đang là sinh_viên
ông có anh_chị_em gì không,tui có 1 đứa em_gái
thế sao bạn không đi biển đi cho gần,mình hay đi biển hoài à
bạn muốn bạn của mình như thế_nào,khùng
bạn thích nhân_vật nào trong phim đó,mình rất thích cặp đôi nhân_vật chính là dư hoài và cảnh cảnh
rồi đồ uống thì sao,chắc là trà tắc hoặc là sữa_tươi trân_châu đường đen
mình có_thể mời bạn chơi vài game không,được chứ mình không phiền đâu
hôm_nay ăn gì,ăn cơm mẹ nấu
bạn có phải là một người lười vận_động,thực_sự thì mình đúng là người lười vận_động
ngủ có mặc đồ không,lúc có lúc không
bạn có thích ra ngoài đường_ngắm phố_phường không,có thi_thoảng mình có chạy xe ra ngoài đường chơi
cậu đi xe gì chứa được bao_nhiêu xăng,đi limo
ăn vặt ở đâu ngon giờ,mình biết quán dì lan ở quận 1 ngon lắm
mình tên là hùng rất vui được làm_quen bạn,cảm_ơn vậy mình cũng rất vui khi được làm_bạn với hùng
bạn muốn đi ăn cùng ai,gia_đình
làm gì nữa,chụp hình ăn_uống
bạn thích con vật gì,mèo
bảo_hành bao_lâu,tùy theo nhà sản_xuất
bạn đang ế à,mình có người_yêu rồi mà
bạn cho mình hỏi bạn ở đất_nước nào,đất_nước của tớ ở việt_nam
gia_đình ở đâu,ở chung
làm chuyến cuối năm đi,vote đà_lạt
đặc_sản là gì,cua
cậu làm gì khi crush buồn,thì dẫn đi ăn là được
đúng_vậy,nơi đó có đông không nhỉ
bạn thích người như thế_nào,mình thích kiểu người nhẹ_nhàng tâm_lý
thích thể_thao không,thích thể_thao 2 người
lúc rảnh hay làm gì,đi chơi
bạn làm gì để giữ mối quan_hệ lâu_dài,tâm_sự
mày tên gì,tùng
quê ở đâu,sài_gòn
mấy giờ đi ha,chắc 7 hoặc 8 giờ tối gì đó
nghề_nghiệp của mẹ bạn là gì,làm phi_hành_gia
nhưng vẫn phải ăn_uống đầy_đủ và giữ sức_khỏe_nhó,okay
đi ăn hadilao đi lâu rồi tao chưa ăn lẩu,vậy đi sớm sớm nha đợi tối đi xếp_hàng đông lắm
bạn thích xem thể_loại phim gì,mình thích xem phim kinh_dị
tại_sao bạn thích trêu_ghẹo người khác,vì mình thích_vậy
xem ở đâu,lotte cinema
ông học ngành này là hồi đó ông thích hay s,học ngành này là do đam_mê từ hồi nhỏ á
bạn có chơi thể_thao không,mình có tập yoga
nông_trại của cậu ở tỉnh nào,nộng trại nhà_tớ ở côn đảo
mẫu bạn gái lý_tưởng là gì,là bạn gái tao ở hiện_tại
làm gần nhà à,xa nhà
mà mai ông có xe không qua chở tôi đi,ừ để mai tôi qua rước
học ai,giáo_viên công_nghệ thông_tin
bạn có nhiều bạn không,mình có nhiều bạn
thể_loại phim bạn thích là gì,mình thích thể_loại phim hành_động viễn_tưởng
cho mình hỏi bạn có tính_cách như thế_nào,hướng nộitrầm lắng sâu_lắng
thể_loại nào,kinh_dị
các chi_nhánh của cửa_hàng,nha trang hồ chí minh hà_nội bình_dương
có năm nào mày không đi đà lạt đâu,kệ tao
hp có tốt không,có
ngày_mai có lễ_hội âm_nhạc mình đi chơi không,okvậy hẹn mai gặp
cậu hiện_tại đang có crush ai không,à mình có cảm_thấy say nắng bạn kia
lì_xì em tao,được
bạn có thường_xuyên xem phim không,có nha
vậy chiều em đừng đi xe anh sang chở đi học luôn nhé,vậy cũng được anh
cho em hỏi học_phí trường mình có cao không ạ,trường mình học_phí cũng bình_thường thôi em
mày vẽ đẹp không,không
bạn tên là gì,mình tên trần thanh duy
thế diễn_viên thì sao,mê nhất là doremon
cho em hỏi cơ_sở vật_chất trường mình có tốt không vậy ạ,trường mình có cơ_sở vật_chất tốt em nhé
bạn chuẩn_bị ra trường chưa,hết năm nay mình sẽ ra trường
bạn có thích anime,yes
mày có khùng không,sao chửi tao
m có crush ai không,không bro
vậy bạn có tự kỷ không,không sao hỏi_vậy
có đi chơi với bạn không,có
giao hàng nhanh không,nhanh lắm
bạn biết kết của phim không,say no spoiler
vietnam hiện như thế_nào rồi,đang bị virus lại
mày bao nhé,được tao sẽ bao mày một bữa thịnh_soạn
những lúc mệt_mỏi chán_nản bạn thường làm gì,tui sẽ đi ngủ
nhà bạn ở đường nào,tôn đản
mình đi ăn nha,dạ
môn thể_thao mà bạn thích chơi nhất,cầu_lông
bạn có chọn công_việc_làm thêm nào không,bán trà đá vỉa_hè
do you answer me about your country,yes my country is vietnam
dạo này chuyện tình_yêu của bạn như thế_nào rồi,người_yêu thì mình chưa có nhưng crush thì mình có rồi
quê ở mô,tphcm còn bạn
bạn là ai thiên_thần hay ác quỷ,mình là mai angle
người_yêu m đẹp nhĩ,ừ
tên,huy
bạn có máy_tính dùng trong việc chơi game chứ,có
tuyệt thật bạn cảm_thấy như thế_nào,lúc đầu rất mệt nhưng niềm vui chinh_phục được đỉnh núi lớn hơn
mình nên mua điện_thoại nào bây_giờ,mình nghĩ là bạn nên thử dùng samsung
vậy còn công_nhân_viên của trường thì sao,đội_ngũ công_nhân_viên của trường luôn_luôn thân_thiện vui_vẻ và trách_nhiệm với công_việc và với sinh_viên
quê bạn ở đâu,quê mình ở sài_gòn
tại_sao,vì đó là người_thân với tôi nhất
dòng nào dễ nhất,hg
nhà bạn ở đường nào,gần nhà m
xem phim xong mình đi đâu_đó chơi tiếp không,ok bạn
thích ai không,có
